,title,score,ratings,containsAds,price,free,realInstalls,released,inAppProductPrice,icon
0,Any.do - To do list & Calendar,4.4070916,479478,False,0,True,29999718,"Nov 10, 2011",$0.99 - $99.99 per item,https://play-lh.googleusercontent.com/rmzeq_sIQ0Ajs1R0Dx1FhZevoTgnWfY_enZ1AOkBRdhAjnwFqekzw-o-B2rTRyO0XA
1,Todoist: to-do list & planner,4.4128814,260147,False,0,True,39871632,"Nov 18, 2012",$0.99 - $48.00 per item,https://play-lh.googleusercontent.com/GK0SwEBVqlFBpRkPjY6y_1go6E6xZzAN0Ivzfgbuf28J4TTOoOsgWnqR4oJ_RhIhsg
2,TickTick:To Do List & Calendar,4.6512194,125548,False,0,True,6909860,"Jun 19, 2013",$0.99 - $35.99 per item,https://play-lh.googleusercontent.com/JkYolPNuRAlrXEI9vlk-XOid3VFJ0IPjDj2eM_xrriuE3Zu8IX9cuMkI7JOTw1upNxbW
3,Habitica: Gamify Your Tasks,3.9047618,26264,True,0,True,4829917,"Dec 10, 2015",$0.99 - $47.99 per item,https://play-lh.googleusercontent.com/js9LcEDMPaWBLW-kX6zrCxVwKDKTsvQRgIubQnZB0wQs4NfNcxPkNlXQOpIDXKX0y5Y
4,Forest: Focus for Productivity,4.7107844,646247,True,0,True,34524752,"Aug 25, 2014",$0.99 - $18.99 per item,https://play-lh.googleusercontent.com/NWRVVF6zXvmcqspJwdFOKcQG6OlsNwpMOxED_DgB6B2BBDeWwAeWZKZxGhgqU0LQVJU
5,Habit Tracker,4.3925133,81081,False,0,True,3630786,"Mar 5, 2014",$3.99 - $62.67 per item,https://play-lh.googleusercontent.com/7cwJD9wRKPu1xnSomH7UI0ICAXT_lJt7JAJa76Nut0oYH__b2XvjaUUpJHQhhx41roA
6,Do It Now: RPG To Do List,4.4040403,11267,True,0,True,969555,"Jan 19, 2016",$0.99 - $49.99 per item,https://play-lh.googleusercontent.com/qOT_vv9Ok0NYqV7Hh1KR68h77WkoI9Z4hRYkMJXXXl3Ld2qi7C2mNoLyturioh8gbjM
7,HabitNow Daily Routine Planner,4.7674417,60994,False,0,True,4330122,"May 17, 2019",$0.99 - $11.99 per item,https://play-lh.googleusercontent.com/2U9sU5sKuKsHtNG5Z5x7c8hxMtf-jF4uDyGHtw5v5eRnmqtPn4q635DJi-MuQOEp52A
8,Microsoft To Do: Lists & Tasks,4.7031546,339309,False,0,True,20879919,"Apr 19, 2017",,https://play-lh.googleusercontent.com/PH-2iORSfQs-iizoHzePXBaJCXml443pgoC14-lZESLFIp78A4SvxLKUVv1FyIQFtC8
9,Sectograph. Day & Time planner,4.5198097,88340,False,0,True,6136090,"Sep 1, 2013",$1.99 - $99.99 per item,https://play-lh.googleusercontent.com/cFHpQmu2ajaoC1460fSuqJMCbuy70fS8RT9Zi2jLMRsMDBkeAzQg5IQfcN1ZMeDihpA
10,TimeTune - Schedule Planner,4.5149455,90292,True,0,True,6554435,"Sep 30, 2014",$1.99 - $29.99 per item,https://play-lh.googleusercontent.com/L3qZUcWIbdU1zlg8TO2pT4s4lKrl7YIuikaaD1pAE82iqCIlP21CAnwB8385iXGdgSw
11,Artful Agenda - Plan in Style!,4.2074075,3298,False,0,True,392002,"Mar 27, 2019",$1.99 - $49.99 per item,https://play-lh.googleusercontent.com/7TDVINQa9OIoNDZXzIEWeogyey6qKJwp1P5Of2A6HE5iNCaTeIbq7LQQ-yoGJODUtA
12,Tasks: to do list & tasks,4.757106,120577,False,0,True,5289631,"Nov 20, 2016",$0.99 - $59.00 per item,https://play-lh.googleusercontent.com/SMbBC8C9MXU4VgNVPSGBBWlxEtnR3maiJKryL1j2wp3zW5mK7yBnYg4cB4o-EMQh5sI
13,Business Calendar 2 Planner,4.6577616,250068,True,0,True,10758804,"Dec 19, 2014",$1.49 - $8.99 per item,https://play-lh.googleusercontent.com/4Hmw2RFw7QT2F8vD2Qev7ndv1W4NKtN8UjJs7wjeo8TkA8jc1MsjmDMMk5vv4vWTuA
14,Planner Pro - Daily Calendar,4.252505,14540,True,0,True,3201109,"Jun 18, 2014",$2.99 - $94.99 per item,https://play-lh.googleusercontent.com/Hn436scq8RPVSGb7O5WEcesqGhQLoMHvnLG56rriuqcSZtunG-98pJGUcbfl34futMWH
