,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sortOrder,appId
0,0197c118-5c6f-4a7b-894c-970023d1a350,Mar Zur,https://play-lh.googleusercontent.com/a/ACg8ocK42Zfja2w9fVzX0hF6EyEhByojnDh5Ff_Q6r5QnS_W=mo,"I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.",1,11,4.16.6.2,2020-07-22 09:13:10,"Our team will be happy to look into it for you, should you submit a bug report via the app's Settings - Support. That said, if this is not the type of solution you are looking for, we respect your decision to move to a different app.",2020-07-23 12:32:02,4.16.6.2,most_relevant,com.anydo
1,94868fb5-a21d-4ef9-ab85-81b2ed3d0785,Devin Rivera,https://play-lh.googleusercontent.com/a-/ALV-UjVXNHS7S5XcGp_iWhsrrcIeEwLtDGmYZmPp6HdKMeM_Zw,"Instead of shopping around, I downloaded Any.do because of how widely used it is. Setting up one day's schedule should have taken me just a couple of minutes. But the app seemingly randomized which day of the week an entry was for. On two occasions, it picked a day over a year away. After twenty minutes of fighting the app, I finally had my schedule together. I spent another ten minutes trying to get any notifications to work, with no luck. Fortunately, uninstalling only took a few seconds.",1,8,,2020-12-08 01:24:40,"We are not aware of any issues with randomized times for entering tasks, so that sounds odd. As per the notifications, there may be an issue with your device allowing the app to send notifications properly. If you're still experiencing any issues, kindly let us know at- www.any.do/contact_form, so we can get to the bottom of this for you.",2020-12-10 04:38:20,,most_relevant,com.anydo
2,825da34e-f65d-4ef3-991d-02d5291820d6,Heidi Kinsley,https://play-lh.googleusercontent.com/a/ACg8ocK1MiNFof2ZMK7U3J3_xajgyzRDjKib5cQdlcKaqgww=mo,"Why does every once in a while... out of the blue, the app asks to update acct emails or such and then everything on my task list has been lost??? This last time, my list went back to some list I had quite awhile back... must have been the list I lost at another time. This is quite frustrating. And if I have to spend the time to make a new list, I cld just as well spend that time finding another app to use. Especially since this seems to be reoccurring. So disappointing.",1,6,5.11.1.2,2021-07-09 09:51:56,"Sorry to hear that! It sounds like you might have logged in to a different account. Please submit a bug report in your app (via Settings - Support) or contact us at https://www.any.do/contact_form, and we will be sure to get to the bottom of this for you :)

",2021-07-11 07:16:55,5.11.1.2,most_relevant,com.anydo
3,a49c2875-651a-4c33-b79c-5813780d659e,Daniel Keller,https://play-lh.googleusercontent.com/a/ACg8ocJMWXi9LbL9MYM78df3URfFRt5F04dTM4JW64L5-yl9zA=mo,"Terrible Update! This app used to be perfect for planning out when certain tasks were to be completed. The interface was easy to understand and you could see and plan as many days into the future as you wanted, and everything was perfectly broken down by date. Now when you add tasks, regardless of when they need to be completed, the app just says to do it today. It has completely eliminated the only use for this app, which was to make out a planned future.",1,6,,2020-11-15 20:50:16,"Please note that the tasks in your tasks view are sorted by their reminder date, to move a task to Tomorrow/ Upcoming/ Someday, simply add the relevant reminder. That said, we are unaware of any issues with tasks being set to Today, so that's odd. Please send us a bug report via your app Settings - Support, so we can look into this for you.",2020-11-17 04:31:35,,most_relevant,com.anydo
4,9482c75e-2e63-46ab-8c94-47273dd6a829,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This app is deceivingly terrible. There are some really nice design features like the home screen widget. All of this nice user experience is trashed by the ""POP UNDER"" that doesn't turn off. Every day, it's there waiting for you when you turn on your phone. I have all alerts in app turned off, my phone blocks app notifications, and I'm on Do Not Disturb and yet, there is this annoying feature that Any.do won't allow you to disable. EDIT: I DISABLED MOMENT NOTIFICATIONS A PRIOR TO DEV COMMENT",1,20,4.14.0.4,2019-01-31 11:19:40,"Hi Ryan, it sounds like you are describing our Moment notification. You can disable it from the app under Settings - Any.do Moment - Disable. If you are still experiencing any issues you're welcome to submit a bug report via Settings - Support 😊",2019-02-05 06:52:44,4.14.0.4,most_relevant,com.anydo
5,6446c87d-e045-4325-b154-042cde863d74,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Smart Grocery List From Hell. While it might be handy to sort your list by catagory. Now everything is spread out all over the place. I wanted to turn the feature back off and it will not turn off. I like to sort things in the order I travel through the store. i know where everything I purchase is located. Well can't do that any.more. Having to change the category on each item i buy to Esential household item so that i can keep everything together. what a drag!,1,20,4.12.0.5,2019-01-16 19:09:23,"Please note that you can turn off the smart list by going to Settings &gt; Smart Grocery list &gt; OFF. Accordingly, you don't have to use this feature. Please make sure to convert all smart lists (after turning the feature off) to regular lists by tapping the list menu &gt; convert to a regular list.",2019-01-30 10:18:23,4.12.0.5,most_relevant,com.anydo
6,afe06e54-1014-49fa-80a6-f2b74880ef7c,rainrunner13,https://play-lh.googleusercontent.com/a-/ALV-UjWcsXySNoLh-ManTP7dNFBsyLmDcH_eTHb1OUkIbcQb6w,"Wunderlist was everything I needed and I had no issues with the app. This ""replacement"" tried to keep a somewhat similar format, but replaced the things that I really enjoyed from the original app. I don't like having a list app connected to Google or the rest of my accounts. I just wanted something simple that I could easily share with my family. I'm really disappointed with this forced move to a new app. Can't Wunderlist be allowed to continue to function?!",1,7,,2020-04-30 02:46:02,"Any.do is a task management app, which has no relation to Wunderlist, but simply allows you to import your tasks from there. Any.do has an extensive Help Center detailing how to utilize our features -https://support.any.do/. You are also welcome to contact us at https://www.any.do/contact_form with any questions.",2020-05-03 06:27:44,,most_relevant,com.anydo
7,8256ea78-31ef-4eb4-abb0-1411d11a7d9e,Syd Stoll,https://play-lh.googleusercontent.com/a/ACg8ocJLnIZHqkrwDANpjPZTnmSOAYZjUIUyF_cUOYGpsfI=mo,"I have had this app for almost a year. I was really enjoying it. I mostly used it for my grocery list and weekend to do list. However, I will be uninstalling it now because it deemed it appropriate to automatically add ""Welch's brand Fruit Snacks!"" to my grocery list without permission. I encounter ads in a lot of places, but I refuse to use an app that panders to corporations in such a way that it starts adding branded products to my damn grocery list.",1,84,5.15.2.1,2021-11-07 10:58:27,"This could happen if a user pressed on an advertisement for a product. We will be more than happy to look into this for you and sort this out, should you send us a bug report. Please submit a bug report (Settings- Support- Bug Report)",2021-11-08 09:36:27,5.15.2.1,most_relevant,com.anydo
8,775c3273-36cc-4787-a126-06ec46834507,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Almost perfect but the developers choose to ignore one very important thing. There are several people posting the same request. Keep the popups but stop them from interrupting other apps, which can be crucial at times. The forum posts I saw requesting this were old so it's obviously not a problem you're willing or able to fix. Otherwise I might have bought the full version but I had to uninstall",1,4,,2019-07-07 11:10:17,"Popups have been proven to increase productivity and is a main feature for the app right now. While we are not removing it yet, there is a UserVoice for this suggestion that you can see here: https://bit.ly/2xyuuQX. Feel free to vote for this suggestion and our dev team will take this into account for future updates.",2019-07-09 07:09:41,,most_relevant,com.anydo
9,9f47e332-2c56-426c-8430-ce8ffde55706,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Very annoyed that I have to keep signing in and then it deleted all my lists. Ive been working on a master shopping list for several months. Im trying to track what my regular purchases so that I could have just opened an app such as this, gone down my list, and checked off what I needed. But when I logged back in AGAIN, my shopping lists were gone for the third time. When it works, its great. It just doesnt work enough and I dont have time for this.",1,30,4.15.8.11,2019-09-29 12:03:25,"Hi, that's odd, please send us a bug report in your app via Settings - Support, so we can get to the bottom of this for you :)",2019-10-02 15:51:43,4.15.8.11,most_relevant,com.anydo
