,title,score,ratings,containsAds,price,free,realInstalls,released,inAppProductPrice,icon
0,Flo Period & Pregnancy Tracker,4.5957665,3325022,False,0,True,123454911,"Apr 12, 2016",$0.99 - $99.99 per item,https://play-lh.googleusercontent.com/S2NYJ-zQxMfCGe4NyP_jRQmoNHeLB0TwlDqNSA6BKKWgm3GHWVhbXiLpejzyiLkAG7qM
1,Yuka - Food & Cosmetic Scanner,4.3713927,115893,False,0,True,24199101,"Dec 2, 2019",$10.00 - $20.00 per item,https://play-lh.googleusercontent.com/fmGc9NGmf0ZTV2PQIhZ7lprvqNaUOaZEFXZg6MIG5fDaUiTua4Y2D7IxA3jaHDj2xQ
2,Daylio Journal - Mood Tracker,4.7470727,391706,True,0,True,15468606,"Aug 17, 2015",$0.99 - $59.99 per item,https://play-lh.googleusercontent.com/wweiF4j7oCrolJVXpqaBf7egP7ia8j0nt4b97ebS7BcRRQLLIp6fA3HDX0qT1qd4UQ
3,HealthifyMe – Calorie Counter,4.467742,529486,False,0,True,36107521,"May 11, 2013",$0.99 - $79.99 per item,https://play-lh.googleusercontent.com/9NCPUYlB7165VMxuMEvI5BhP86mGcBOvcz-LQH2TLn10qF9t3xQE_p4ek5-zWdIu
4,Water Reminder - Remind Drink ,4.8294315,367443,True,0,True,23176063,"Oct 10, 2019",$3.49 per item,https://play-lh.googleusercontent.com/-XJ41d9DzwBATJUZVYl_gcFV7csJvfiBNjUSDWofpzPUcMY5RLUzwev4K1YSWTKj_SU
5,Sleep Cycle: Sleep Tracker,4.3538804,193059,False,0,True,14918277,"Jun 16, 2014",$0.99 - $59.99 per item,https://play-lh.googleusercontent.com/dar3zPlTbJYfHtH0hG4WOOK28ujJTj5kz51SwDuZc-HrmSgjZyavEDY_k4jmiJ9QwFo
6,Fasting - Intermittent Fasting,4.8525515,794984,True,0,True,43486321,"Oct 25, 2019",$2.99 - $34.99 per item,https://play-lh.googleusercontent.com/eZzcm9SGr5mlgM6_qO_PJXFRh2lymgbZSdmS5jc7MIBFULiSz27e86YOuyOS35O4nQ
7,Personal Health Monitor,3.892857,599,False,0,True,355563,"Dec 22, 2020",,https://play-lh.googleusercontent.com/Auwelj1G64r_0Hg8NyLjqR-6osFGNMvpefj1ztCbupRhxBMkxFTdQYevsbscOiG2pctf
8,Eat This Much - Meal Planner,4.5353775,8642,False,0,True,1898664,"Apr 6, 2016",$0.99 - $84.99 per item,https://play-lh.googleusercontent.com/_7nDHuFScI1ksZpoPEeA5e9UdGAACA3aMaoTxCA2Zf0LH3e4H7w74N4bdNAjl4zJlXA
9,Heart Rate Monitor - Pulse App,4.754535,215214,True,0,True,11633516,"Jan 14, 2022",$4.99 per item,https://play-lh.googleusercontent.com/IuvhhkzeZPm5-M31VQwiWv62vv2nZ_-dr35MMsj-F3qNj9RXvkwQIE56VlHq9aG7R-7K
10,Health Connect (Beta),3.1691542,14749,False,0,True,194280683,"Nov 10, 2022",,https://play-lh.googleusercontent.com/EbzDx68RZddtIMvs8H8MLcO-KOiBqEYJbi_kRjEdXved0p3KXr0nwUnLUgitZ5kQVWVZ
11,OnePlus Health,2.13,15303,False,0,True,1755175,"Jan 18, 2021",,https://play-lh.googleusercontent.com/cQ7E0Y1m2evU_q4SZ4Q9rMAwY7S7oUwyZdCWXn__GWRbcHOojXaUc7N_72W6It4hqKE
